"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Sejuani","Middle",1,"0.0%","18.8%","44.3%","0%","100%",0,4,2,0.5,"100.0%","20.0%","0%",-383,-542,-3,7.5,"21.6%",322,"22.9%","23.5%",0.33,0.17
"Sejuani","Support",5,"0.2%","18.8%","44.3%","40%","100%",2,14,34,2.6,"69.2%","22.6%","60%",156,340,28.6,3,"7.2%",209,"10.5%","11.0%",1.1,0.31
"Sejuani","Top",166,"5.4%","18.8%","44.3%","47%","50%",262,438,1015,2.9,"64.6%","22.0%","15%",-113,-26,-5.8,7.4,"20.7%",407,"20.2%","19.8%",0.39,0.22
"Senna","ADC",129,"4.2%","6.4%","10.9%","50%","51%",287,260,893,4.5,"78.4%","18.5%","13%",-693,-552,-68.3,2.4,"10.4%",487,"22.7%","16.1%",1.26,0.8
"Senna","Support",8,"0.3%","6.4%","10.9%","50%","63%",12,24,50,2.6,"84.9%","21.4%","13%",351,-135,0.1,1.2,"5.4%",336,"16.7%","13.4%",1.72,0.82
"Seraphine","ADC",19,"0.6%","3.2%","5.2%","63%","26%",41,26,151,7.4,"80.3%","12.9%","26%",52,159,11.4,8.5,"26.2%",467,"20.9%","22.5%",0.42,0.16
"Seraphine","Middle",17,"0.6%","3.2%","5.2%","29%","65%",21,38,104,3.3,"77.2%","15.8%","6%",-371,-223,-4.5,7.9,"21.3%",400,"20.5%","20.7%",0.42,0.2
"Seraphine","Support",26,"0.8%","3.2%","5.2%","58%","85%",38,58,217,4.4,"77.7%","19.8%","12%",670,541,45.1,5.8,"19.7%",324,"14.9%","17.1%",0.89,0.23
"Sett","Jungle",1,"0.0%","1.0%","3.0%","0%","100%",0,6,6,1,"66.7%","31.6%","0%",-72,-217,4,4.5,"8.1%",147,"8.6%","12.5%",0.37,0.43
"Sett","Middle",3,"0.1%","1.0%","3.0%","67%","67%",4,9,19,2.6,"53.5%","25.7%","33%",-315,-969,-23,6.6,"19.7%",337,"14.9%","17.3%",0.37,0.21
